experiment_id,alpha,mu,seed,strategy,straggler_fraction,final_global_accuracy,best_global_accuracy,convergence_round,local_on_test_accuracy_std,worst_client_local_on_test_accuracy,per_client_local_on_test,runtime_seconds
alpha0.3_mu0.0_seed42_fedavg_straggler0.0,0.3,0.0,42,fedavg,0.0,0.4466019417475728,0.5145631067961165,3,0.0519818071333625,0.3689320388349514,"[0.4174757281553398, 0.49514563106796117, 0.36893203883495146]",535.2548806667328
alpha0.1_mu0.0_seed42_fedavg_straggler0.0,0.1,0.0,42,fedavg,0.0,0.4563106796116505,0.4563106796116505,8,0.0804517986709129,0.3009708737864077,"[0.30097087378640774, 0.49514563106796117, 0.42718446601941745]",501.4741551876068
alpha0.1_mu0.1_seed42_fedprox_straggler0.0,0.1,0.1,42,fedprox,0.0,0.4466019417475728,0.4660194174757281,6,0.0794035219830763,0.2815533980582524,"[0.2815533980582524, 0.46601941747572817, 0.42718446601941745]",517.4100494384766
alpha0.1_mu1.0_seed42_fedprox_straggler0.0,0.1,1.0,42,fedprox,0.0,0.4368932038834951,0.4466019417475728,6,0.0736557066455731,0.2912621359223301,"[0.2912621359223301, 0.46601941747572817, 0.4174757281553398]",519.337310552597
alpha0.3_mu0.1_seed42_fedprox_straggler0.0,0.3,0.1,42,fedprox,0.0,0.4271844660194174,0.5242718446601942,3,0.0450756902174243,0.3883495145631068,"[0.4174757281553398, 0.49514563106796117, 0.3883495145631068]",509.2086806297302
alpha0.3_mu1.0_seed42_fedprox_straggler0.0,0.3,1.0,42,fedprox,0.0,0.3786407766990291,0.5048543689320388,2,0.0158543025422859,0.4077669902912621,"[0.44660194174757284, 0.42718446601941745, 0.4077669902912621]",505.2529101371765
alpha1.0_mu0.0_seed42_fedavg_straggler0.0,1.0,0.0,42,fedavg,0.0,0.4757281553398058,0.4757281553398058,4,0.0396357563557148,0.3980582524271844,"[0.39805825242718446, 0.44660194174757284, 0.49514563106796117]",527.2124495506287
alpha1.0_mu0.1_seed42_fedprox_straggler0.0,1.0,0.1,42,fedprox,0.0,0.4660194174757281,0.4660194174757281,7,0.0515772733026188,0.3883495145631068,"[0.3883495145631068, 0.44660194174757284, 0.5145631067961165]",517.8326160907745
alpha1.0_mu1.0_seed42_fedprox_straggler0.0,1.0,1.0,42,fedprox,0.0,0.4271844660194174,0.4563106796116505,1,0.0242178471635853,0.4271844660194174,"[0.42718446601941745, 0.44660194174757284, 0.4854368932038835]",512.9553751945496
alpha0.3_mu0.0_seed123_fedavg_straggler0.0,0.3,0.0,123,fedavg,0.0,0.4951456310679611,0.5825242718446602,2,0.0519818071333625,0.3786407766990291,"[0.5048543689320388, 0.3786407766990291, 0.4563106796116505]",506.9334006309509
alpha0.3_mu0.0_seed777_fedavg_straggler0.0,0.3,0.0,777,fedavg,0.0,0.4271844660194174,0.4757281553398058,4,0.053959003237971,0.3495145631067961,"[0.34951456310679613, 0.3786407766990291, 0.47572815533980584]",534.4008708000183
alpha0.3_mu0.1_seed123_fedprox_straggler0.0,0.3,0.1,123,fedprox,0.0,0.5339805825242718,0.5631067961165048,2,0.0804517986709129,0.3592233009708738,"[0.5533980582524272, 0.3592233009708738, 0.42718446601941745]",505.5845892429352
alpha0.3_mu0.1_seed777_fedprox_straggler0.0,0.3,0.1,777,fedprox,0.0,0.4271844660194174,0.4660194174757281,4,0.0477825989004317,0.3495145631067961,"[0.34951456310679613, 0.39805825242718446, 0.46601941747572817]",522.5988063812256
alpha0.3_mu1.0_seed123_fedprox_straggler0.0,0.3,1.0,123,fedprox,0.0,0.5436893203883495,0.5631067961165048,6,0.0997477994007924,0.3300970873786408,"[0.5728155339805825, 0.3300970873786408, 0.47572815533980584]",509.0112309455872
alpha0.3_mu1.0_seed777_fedprox_straggler0.0,0.3,1.0,777,fedprox,0.0,0.4757281553398058,0.4757281553398058,6,0.0406789808737104,0.3689320388349514,"[0.36893203883495146, 0.39805825242718446, 0.46601941747572817]",524.6121735572815
