experiment_id,alpha,mu,seed,strategy,straggler_fraction,final_accuracy,best_accuracy,convergence_round,accuracy_std,worst_client_accuracy,per_client_final_accuracy,runtime_seconds
alpha0.1_mu0.0_seed42_fedavg_straggler0.0,0.1,0.0,42,fedavg,0.0,0.435,0.435,1,0.2280085843594901,0.3076923076923077,"[0.7780612244897959, 0.7, 0.9904306220095693, 0.3076923076923077, 0.5538116591928252]",8.246753215789795
alpha0.1_mu0.0_seed42_fedprox_straggler0.0,0.1,0.0,42,fedprox,0.0,0.435,0.435,1,0.2280085843594901,0.3076923076923077,"[0.7780612244897959, 0.7, 0.9904306220095693, 0.3076923076923077, 0.5538116591928252]",5.818411350250244
alpha0.1_mu0.0_seed123_fedavg_straggler0.0,0.1,0.0,123,fedavg,0.0,0.435,0.435,1,0.1980938733966827,0.4,"[0.6454081632653061, 0.4, 0.9904306220095693, 0.5384615384615384, 0.5605381165919282]",5.881179571151733
alpha0.1_mu0.0_seed123_fedprox_straggler0.0,0.1,0.0,123,fedprox,0.0,0.435,0.435,1,0.1980938733966827,0.4,"[0.6454081632653061, 0.4, 0.9904306220095693, 0.5384615384615384, 0.5605381165919282]",7.224277257919311
alpha0.1_mu0.0_seed777_fedavg_straggler0.0,0.1,0.0,777,fedavg,0.0,0.435,0.435,1,0.246611733902398,0.2307692307692307,"[0.7168367346938775, 0.6, 0.9904306220095693, 0.23076923076923078, 0.5448430493273543]",7.219722270965576
alpha0.1_mu0.0_seed777_fedprox_straggler0.0,0.1,0.0,777,fedprox,0.0,0.435,0.435,1,0.246611733902398,0.2307692307692307,"[0.7168367346938775, 0.6, 0.9904306220095693, 0.23076923076923078, 0.5448430493273543]",7.109557151794434
alpha0.1_mu0.01_seed42_fedprox_straggler0.0,0.1,0.01,42,fedprox,0.0,0.435,0.4375,1,0.1588483849950402,0.5384615384615384,"[0.8035714285714286, 0.75, 0.9904306220095693, 0.5384615384615384, 0.6031390134529148]",7.384121417999268
alpha0.1_mu0.01_seed123_fedprox_straggler0.0,0.1,0.01,123,fedprox,0.0,0.435,0.435,1,0.2428841723375276,0.3076923076923077,"[0.7933673469387755, 0.45, 0.9904306220095693, 0.3076923076923077, 0.5829596412556054]",8.04383897781372
alpha0.1_mu0.01_seed777_fedprox_straggler0.0,0.1,0.01,777,fedprox,0.0,0.435,0.475,1,0.1862721159180017,0.45,"[0.6989795918367347, 0.45, 0.9904306220095693, 0.5384615384615384, 0.5964125560538116]",8.134720802307129
alpha0.1_mu0.1_seed42_fedprox_straggler0.0,0.1,0.1,42,fedprox,0.0,0.435,0.4375,1,0.1482746493410908,0.5807174887892377,"[0.8086734693877551, 0.7, 0.9904306220095693, 0.6153846153846154, 0.5807174887892377]",7.887761354446411
alpha0.1_mu0.1_seed123_fedprox_straggler0.0,0.1,0.1,123,fedprox,0.0,0.435,0.4675,1,0.1533844034902481,0.5672645739910314,"[0.7933673469387755, 0.65, 0.9904306220095693, 0.6153846153846154, 0.5672645739910314]",7.84978985786438
alpha0.1_mu0.1_seed777_fedprox_straggler0.0,0.1,0.1,777,fedprox,0.0,0.435,0.5025,1,0.1330250794463339,0.6210762331838565,"[0.7780612244897959, 0.65, 0.9904306220095693, 0.6923076923076923, 0.6210762331838565]",7.904538869857788
alpha0.1_mu1.0_seed42_fedprox_straggler0.0,0.1,1.0,42,fedprox,0.0,0.4175,0.45,1,0.1619754951307825,0.4820627802690583,"[0.7193877551020408, 0.75, 0.9904306220095693, 0.6923076923076923, 0.4820627802690583]",8.139312505722046
alpha0.1_mu1.0_seed123_fedprox_straggler0.0,0.1,1.0,123,fedprox,0.0,0.435,0.435,1,0.2003324291045067,0.4260089686098655,"[0.4923469387755102, 0.75, 0.9904306220095693, 0.6923076923076923, 0.4260089686098655]",8.400659084320068
alpha0.1_mu1.0_seed777_fedprox_straggler0.0,0.1,1.0,777,fedprox,0.0,0.3775,0.445,1,0.1740686824473277,0.4484304932735426,"[0.7423469387755102, 0.75, 0.9952153110047847, 0.6923076923076923, 0.4484304932735426]",8.020079612731934
